Test,Rs
LUPUS Anticoagulant,
Magnesium,
Mantoux Test,
MCH,
MCHC,
MCV,
Measles Ab (IgG),
Measles Ab (IgM),
Microfilaria Smear,
Monospot,
MRCP,
MRI Abdomen & Pelvis,
MRI Abdomen & Pelvis With and Without Contrast,
MRI Ankle Joint,
MRI Both Hip Joints,
MRI Both Knees,
MRI Brachial Plexus,
MRI Brain,
MRI Cervical Spine,
MRI Chest,
MRI Elbow Joint,
MRI Face,
MRI Femur/Thigh,
MRI Fistula Peri Anal,
MRI Leg/Tibia,
MRI Lumbar Spine with Sacroiliac (S.I) Joint,
MRI Lumber Spine,
MRI Orbits,
MRI Orbits,
MRI Pelvis,
MRI Spectroscopy (Brain),
MRI Tempomendibular Joint (TM Joint),
MRI Thoracic (Dorsal) Spine,
MRI Wrist Joint,
PAP Smear,
Phosphorous,
Platelet Count,
Potassium,
Pregnancy Test,
Procalcitonin,
Progesterone,
Prolactin,
Protein (CSF),
Protein C,
Protein S,
Prothrombin Time (PT with INR),
RA Factor (Qualitative),
Renal Function Test (RFT),
Reticulocytes Count,
Rubella IgG,
Rubella IgM,
Semen Analysis,
Serum Electrolytes,
Serum Osmolality,
Serum Total Bilirubin,
SGOT (AST),
SGPT (ALT),
Sickling Test,
Sodium,
Sputum for Gram Stain,
Stool for Occult Blood,
T3 Total,
T4 Total,
Tacrolimus,
"Thyroid Function Test (FT3, FT4, TSH)",
"Thyroid Function Test (T3, T4, TSH)",
Thyroid Stimulating Hormone (TSH),
Total Protein,
Transferrin Saturation,
Triglycerides,
Troponin I,
Troponin T,
Ultra sound (USG): Abdomen,
Ultra sound (USG): Abdomen & Pelvis,
Ultra sound (USG): Chest,
Ultra sound (USG): Groin,
Ultra sound (USG): KUB,
Ultra sound (USG): Neck,
Ultra sound (USG): Pelvis,
Ultra sound (USG): Thyroid,
Urea Breath Test,
Uric Acid (Fluid),
Uric Acid (Spot Urine),
Urinary Oxalate (24 hours),
Urinary Protein (24 hours),
Urine Amylase (Spot),
Urine Bile Salts,
Urine Calcium (Spot),
Urine for AFB,
Urine for Urea (Spot),
Urine Osmolality,
Urine Protein (Spot),
Vancomycin,
Vitamin B12,
25-OH Vitamin D,
VLDL,
White Blood Cells Count (WBC / TLC),
X-Ray Abdomen,
X-Ray Ankle AP/Lat,
X-Ray Both Knees AP / Lat View,
X-Ray Both Knees AP View (Standing),
X-Ray Both Tibia Fibula AP View,
X-Ray Cervical Spine AP/ LAT View,
X-Ray Chest AP View,
X-Ray Chest PA View,
X-Ray Coccyx Spine AP / LAT View,
X-Ray Dorsal Lumber Spine AP / Lat,
X-Ray Elbow AP/Lat,
X-Ray Foot AP,
X-Ray Forearm AP & Lat View,
X-Ray Hand AP / LAT View,
X-Ray Hand AP View,
X-Ray Hip AP & Lat View,
X-Ray Humerus AP/Lat,
X-Ray Knee Skyline View,
X-Ray Mandible Lateral View,
X-Ray Pelvis AP View,
X-Ray Shoulder AP View,
X-Ray Shoulder Lateral View,
X-Ray Skull AP View,
X-Ray Skull AP/LAT View,
X-Ray Skull Lateral View,
X-Ray Thoracic Spine AP,
X-Ray Tibia Fibula AP/Lat,
X-Ray Wrist AP/Lat,
24 Hrs. Urine Micro Albumin,
Adenosine Deaminase (ADA),
Alkaline Phosphatase,
Alpha Fetoprotein (AFP),
ANA Group Test,
ANCA & GBM Ab.,
Anti-CCP,
Anti HCV,
Anti HIV,
Anti Mullerian Hormone (AMH),
Anti Thrombin,
Anti Thyroglobulin Abs.,
Anti-Thyroid Peroxidase (TPO),
Ascitic Fluid Albumin,
Ascitic Fluid C/S,
Autoimmune Liver Profile,
Barbiturates,
Beta 2 Glycoprotein IgG,
Beta 2 Glycoprotein IgM,
Beta 2 Microglobulin,
Bile acids in serum,
Blood Culture,
Blood Group & Cross Match (Donor Name),
Bone Marrow Trephine (Biopsy),
Brucella Antibodies by ELISA,
Calcium (Ca),
Carbamazepine (Tegretol),
"Cardiac Enzyme (CPK, LDH, CKMB)",
Clostridium Difficile Toxins (stool),
Complement C3,
Complement C4,
Serum Cortisol (Morning),
Serum Cortisol (Evening),
COVID-19 PCR,
CSF Glucose,
CT Reporting Only,
CT Reporting Only (Double Region),
CT Scan Angio of Lower Extremities (Vascular),
CT Scan Angio of Upper Extremities (Vascular),
CT Scan AngiogrAPhy Carotid,
CT Angiography Neck and Brain,
CT Scan AngiogrAPhy of Pulmonary (PA),
CT Scan EnterogrAPhy,
CT Scan for Abdomen and Pelvis,
CT Scan for Brain,
CT Scan for Chest,
CT Scan for Lumbar Spine,
CT Scan for Neck & Chest,
CT Scan for Orbits & Brain (Axial & Coronal),
CT Scan Guided Biopsy,
CT Scan PNS (Axial & Coronal),
CT Scan Temporal Bone (Axial & Coronal),
Anti-DGP IgA,
Anti-DGP IgG,
DHEA-SO4,
Diabetes Profile,
Anti-Endomysial IgA,
Endoscopy,
Globulin,
Gram Stain,
H & E Stain,
HBsAg (Quantitative),
HCV (RNA) PCR (Quantitative),
Hep A Virus (IgG),
Hep A Virus (IgM),
Hepatitis B Profile,
MRI (Left/Right) Hand,
MRI (Left/Right) Humerus,
MRI (Left/Right) Shoulder Joint,
MRI Abdomen,
MRI Breast,
MRI Foot,
MRI Head and Neck,
MRI Knee Joint,
MRI PNS,
MRI Sacroiliac (S.I) Joint,
Prostate Specific Antigen (PSA),
Alpha-1 Antitrypsin,
Androstenedione,
Anion Gap (Serum),
Anti Leptospiral IgG,
Anti Leptospiral IgM,
Serum Anti MPO (p-ANCA),
Anti-dsDNA,
Anti GBM,
Anti-Tissue Transglutaminase IgA (TTG),
Anti-Tissue Transglutaminase IgG (TTG),
Beta hCG,
Chlamydia IgG,
Chlamydia IgM,
Serum Mycodot IgG,
Serum Mycodot IgM,
Sex Hormone Binding Globulin (SHBG),
STD Female Profile,
STD Male Profile,
Testosterone,
Free Testosterone,
Total Iron Binding Capacity (TIBC),
USG Anomaly Scan,
Urine Cocaine,
Widal,
X-Ray Leg AP/Lat,
X-Ray Lumbar Spine AP / LAT View,
AFB C/S (Ascitic Fluid for (Mycobacterium Tubercul,
AFB C/S (Aspiration Fluid for (Mycobacterium Tuber,
AFB C/S (Bone for Mycobacterium Tuberculosis),
AFB C/S (Bronchial Washingss for Mycobacterium Tub,
AFB C/S (Broncho Alveolar Lavage for Mycobacterium,
AFB C/S (Cervical Swab for Mycobacterium Tuberculo,
AFB C/S (CSF for Mycobacterium Tuberculosis),
AFB C/S (CVP TIP for Mycobacterium Tuberculosis),
AFB C/S (Cystic Fluid for Mycobacterium Tuberculos,
AFB C/S (DJ Stent for Mycobacterium Tuberculosis),
AFB C/S (Drain for Mycobacterium Tuberculosis),
AFB C/S (Drain Tip for Mycobacterium Tuberculosis),
AFB C/S (Ear Swab for Mycobacterium Tuberculosis),
AFB C/S (Fluid for Mycobacterium Tuberculosis) (FL,
AFB C/S (Hairs for Mycobacterium Tuberculosis),
AFB C/S (Hepatic Fluid for Mycobacterium Tuberculo,
AFB C/S (Joint Fluid for Mycobacterium Tuberculosi,
AFB C/S (Milk for Mycobacterium Tuberculosis),
AFB C/S (Mycobacterium Tuberculosis) (Specimen nam,
AFB C/S (Nail for Mycobacterium Tuberculosis),
AFB C/S (Nasal Swab for Mycobacterium Tuberculosis,
AFB C/S (Pancreatic Fluid for Mycobacterium Tuberc,
AFB C/S (Pericardial Fluid for Mycobacterium Tuber,
AFB C/S (Peritoneal Fluid for Mycobacterium Tuberc,
AFB C/S (Pleural Fluid for Mycobacterium Tuberculo,
AFB C/S (PUS SWAB for Mycobacterium Tuberculosis),
AFB C/S (PUS SYRINGE for Mycobacterium Tuberculosi,
AFB C/S (Semen for Mycobacterium Tuberculosis),
AFB C/S (Skin ScrAPping for Mycobacterium Tubercul,
AFB C/S (Sputum for Mycobacterium Tuberculosis),
AFB C/S (Swab for Mycobacterium Tuberculosis) (Spe,
AFB C/S (Synovial Fluid for Mycobacterium Tubercul,
AFB C/S (Tissue Biopsy for Mycobacterium Tuberculo,
AFB C/S (Urine for Mycobacterium Tuberculosis),
AFB C/S (Wound Secretion for Mycobacterium Tubercu,
AFB C/S (Wound Swab for Mycobacterium Tuberculosis,
Anti-Chikungunya Virus IgM,
Anti-EBV (EBNA-1) IgG,
Anti-EBV IgM,
Anti-HBc (Total),
Anti-HBc IgM,
Anti-HDV,
Anti-HEV IgG,
Anti-HEV IgM,
Biopsy for H/P (Amputation) with History,
Biopsy for H/P (Extra Large Specimen) with History,
Biopsy for H/P (Large Specimen) with History,
Biopsy for H/P (Medium Specimen) with History,
Biopsy for H/P (Small Specimen) with History,
Biopsy for H/P (Three or More Specimens) with Hist,
Biopsy for H/P (Two Large Specimens) with History,
Biopsy for H/P (Two Small Specimens) with History,
Biopsy for Prepare Blocks & Slides Only (without R,
Bleeding Time (BT),
Colonoscopy,
Doppler Both Arms Arterial,
Doppler for Both Legs Venous (DVT),
Fluid Creatinine,
Fluid LDH,
Fluid pH,
India Ink for CSF,
Inhalant Allergens Profile,
IUCD for C/S,
KOH preparation for fungus,
Lipoprotein (a),
Malarial Parasite (Thick & Thin film),
Methadone,
MRI Both Shoulder Joints,
Mycoplasma Pneumoniae IgG,
Mycoplasma Pneumoniae IgM,
pH (Urine),
Renal Doppler,
Ultra Sound (USG): Cranial,
Ultra Sound (USG): Gall Bladder,
Urea (Fluid),
Varicella Zoster Virus (Chicken Pox) IgG,
Varicella Zoster Virus (Chicken Pox) IgM,
Venous Blood Gases,
X-Ray Thumb,
X-Ray Toe,
3g Allergy Specific IgE Universal Food Allergens P,
3gAllergy Specific IgE Universal Inhalant Allergen,
5 HIAA (24 Hrs Urine) (5-Hydroxyindoleacetic Acid),
ABO Isohemagglutinin Titre (IHA),
Abscess for Bacterial C/S (Aerobic) with Gram Stai,
Acanthocytes (Spot Urine),
ACTH Stimulation Test (for CAH),
ACTH Stimulation Test (Short Synacthen Test),
Albumin (CSF),
Aldosterone / Renin Ratio,
Amenorrhoea Profile,
Amphetamine/Methamphetamine,
Amylase (24 Hours Urine),
Anemia Profile,
Antenatal Profile,
Antenatal Screen for Rh Antibodies,
Anti-HSV 1 & 2 IgG (CSF),
Anti-Measles IgG (CSF),
Anti-Parvovirus B19 IgG,
Anti-Parvovirus B19 IgM,
Anti-Rabies Virus Glycoprotein IgG,
Anti-Scl-70,
Anti-Thyroid Antibodies Profile (ATA),
Antinuclear Antibodies (ANA),
APTT Based Clotting Factor Inhibitor Screening,
Arsenic,
Arthritis Profile,
Ascitic Fluid for (AFB Smear/ZN Stain),
Ascitic Fluid for (Bacterial C/S (Aerobic) e Gram,
Ascitic Fluid for (Fungus Stain/Fungal Smear) (KOH,
Ascitic Fluid for (Gram Stain),
Aspiration Fluid for (AFB Smear/ZN Stain),
Aspiration Fluid for (Bacterial C/S (Aerobic) e Gr,
Aspiration Fluid for (Fungus C/S e Fungus Stain)(K,
Aspiration Fluid for (Fungus Stain/Fungal Smear )(,
Aspiration Fluid for (Gram Stain),
B/N Ratio,
Bacterial isolate for Biochemical (API) testing,
Basic Health Profile,
Basic Heart Parameters Heart Profile,
BCR-ABL By PCR (Quantitation),
Bed Sore for Bacterial C/S (Aerobic) with Gram Sta,
Bethesda Assay (Factor VIII Inhibitor Quantitative,
Bilirubin Total (Fluid),
"Biopsy, Slide(s) & Block(s) for review",
BK (Polyomavirus Virus (Quantitative),
Blood C/E e Peripheral Film/Smear,
Blood for C/S (Aerobic & Anaerobic Two Bottles),
Blood for Microfilaria,
"Bone Age Study ( for Insatitutonal need, Please sp",
Bone for Bacterial C/S (Aerobic) with Gram Stain,
Bone for Fungus C/S with Fungus Stain (KOH),
Bone Marrow for Bacterial C/S (Aerobic) with Gram,
Bone Marrow for Fungus Stain/Fungal Smear (KOH),
Bone Marrow Slide & Block for review with history,
Bone Profile,
Breast Cancer NGS Panel,
Bronchial Washings for Bacterial C/S (Aerobic) wit,
Bronchial Washings for Fungus C/S with Fungus Stai,
Bronchial Washings for Fungus Stain/Fungal Smear,
Bronchial Washings for Gram Stain,
Bronchial Washingss for AFB Smear/ZN Stain,
Broncho Alveolar Lavage for AFB Smear/ZN Stain,
Broncho Alveolar Lavage for Bacterial C/S (Aerobic,
Broncho Alveolar Lavage for Fungus C/S e Fungus St,
Broncho Alveolar Lavage for Fungus Stain/Fungal Sm,
Broncho Alveolar Lavage for Gram Stain,
BUN / Creatinine Ratio (Serum),
C2 Monitoring (Whole Blood),
Cadmium,
Calcium & Uric Acid Profile,
Cannabinoids,
Cardiac Profile with Troponin I,
Cardiovascular Risk Profile,
Catecholamines Group of Tests (24 Hrs Urine),
Catheter for Urea (24 Hrs Urine),
"CBC Blood C/E for Dengue Patients (Hb, TLC, Hct, P",
CD-4/CD-8/CD-3 with History,
Cervical Swab for AFB Smear/ZN Stain,
Cervical swab for Bacterial C/S (Aerobic) with Gra,
Cervical Swab for Fungus C/S with Fungus Stain (KO,
Cervical Swab for Fungus Stain/Fungal Smear (KOH),
Cervical Swab for Gram Stain,
Chem 7 Profile,
Chest Pain Profile,
Chlamydia trachomatis and Neisseria gonorrhoeae (C,
Chloride (24 Hrs Urine),
Chloride (Fluid),
Chloride (Spot Urine),
Chloride/Creatinine Ratio (Spot Urine),
Cholinesterase (Serum),
Chromosome Analysis with History (Bone Marrow),
CMV by PCR (Viral Load / Quantitation),
Coagulation Profile,
Congo Virus (CCHF) PCR Qualitative,
Conjunctival Swab for Bacterial C/S (Aerobic) with,
Connective Tissue Disorder Profile,
Coombs Direct (Mono Specific),
Coombs Direct (Polyspecific),
Corneal for Grams stain,
Corneal ScrAPping For Bacterial C/S (Aerobic) E Gr,
COVID-19 (SARS-CoV-2) PCR Test Travel Certificate,
COVID-19 Anti-Spike IgG Antibody Test,
COVID-19 Anti-Spike IgM Antibody Test,
Creatinine (24 Hrs Urine),
Cross Match & PhenotypedAntigen Negative Packed Re,
Cross Matching with Elisa Screening,
CSF for ADA,
CSF for AFB Smear/ZN Stain,
CSF for Analysis,
CSF for Bacterial C/S (Aerobic) with Gram Stain,
CSF for Gram Stain,
CSF for TLC & DLC,
CT 3D KUB (Without Contrast),
CT Abdomen & Pelvis (With & Without I/V Contrast),
CT Abdomen & Pelvis (With I/V Contrast),
CT Abdomen & Pelvis (Without Contrast),
CT Abdomen With & Without I/V Contrast,
CT Abdomen With Contrast,
CT All Joint 3D (For a Specific Region),
CT Angio / Pyelo (Renal Donor),
CT Angio Brain + PNS,
CT Angiogram - Abdominal aorta and iliac arteries (with I/V contrast),
CT Angiogram - Renal / Mesenteric / Hepatic (With I/V Contrast),
CT Angiogram - Thoracic Aorta / Chest (with I/V Contrast),
"CT Angiogram run off (Chest,abdomen, pelvis and lower extremities)",
CT Angiography Intracranial (with I/V contrast),
CT Biphasic with Contrast,
CT bone / Joint -3D (Specify region in remarks),
CT Brain (with and Without I/V Contrast),
CT Brain (with I/V Contrast),
CT Chest & Abdomen with contrast,
CT Chest High Resolution (HRCT Chest),
CT Chest With Contrast,
"CT Chest, Abdomen and Pelvis with contrast",
CT Colonography with contrast,
CT Colonography without contrast,
CT Contrast Charges 50 ml (Non-Ionic),
CT Core Biopsy,
CT Enterography and Colonography,
CT Face with & without contrast,
CT Face with contrast,
CT Face without Contrast,
CT Fluoroscopy Guidance for Arthrography,
CT FNA & Core biopsy,
CT Guidance for Aspiration,
CT Guided Bone Biopsy,
CT Guided Celiac Axis Block,
CT Guided Repeat Biopsy,
CT Guided Transbronchial Biopsy,
CT Head and Neck (With and Without Contrast),
CT Head and Neck with Contrast,
CT Head and Neck Without Contrast,
CT High Resolution (HRCT) Dynamic,
CT Inner Ear & Temporal Bone With Contrast,
CT Inner Ear & Temporal Bone Without Contrast,
CT IVU / Pyelogram With Contrast,
CT Limited with Contrast,
CT Limited without Contrast,
CT Lower limb With and Without contrast (Single Region),
CT Lower Limb with Contrast (Single Region),
CT Lower Limb Without contrast (Single Region),
CT Myelography,
CT Neck and Chest with Contrast,
CT Neck with Contrast,
CT Neck without Contrast,
"CT Neck, Chest, Abdomen and Pelvis with Contrast",
"CT Neck, Chest, Abdomen and Pelvis without Contrast",
CT Paranasal Sinuses (FESS Protocol) With Contrast,
CT Paranasal sinuses (FESS Protocol) Without Contrast,
CT Pelvis with & Without Contrast,
CT Pelvis with Contrast,
CT Perfusion (Specify region in remarks),
CT PNS With and Without IV Contrast,
CT PNS with contrast,
CT Renal Protocol (Non - Contrast),
CT Scan Comparison Studies,
CT Scan Contrast Charges- 100 ml (non lonic),
CT Scan Reporting Three Regions or more,
CT Sinogram,
CT Skull base Plain,
CT Skull Base With Contrast,
CT Spine Double Without Contrast (Specify region in remarks),
CT Spine Plain (Single Region),
CT Spine Single Without Contrast (Specify region in remarks),
CT Thorax With & Without Contrast,
CT Thorax with Contrast,
CT Thorax without Contrast,
CT Triphasic Abdomen (Especially for transplant patients),
CT Triphasic Abdomen (liver / Pancreas),
CT Upper Limb with Contrast (Specify region in remarks),
CT Upper Limb without Contrast (Specify region in remarks),
CT Urography (Multiphasic),
CT Venography Lower Limbs,
CT Virtual Bronchoscopy Without Contrast,
"CT Whole Body (Head, Neck, Chest, Abdomen & Pelvis) With Contrast",
"CT Whole Body (Head, Neck, Chest, Abdomen & Pelvis) Without Contrast",
CVP Tip for AFB Smear/ZN Stain,
CVP Tip for Bacterial C/S (Aerobic) with Gram Stain,
CVP Tip for Fungus C/S e Fungus Stain (KOH),
CVP Tip for Fungus Stain/Fungal Smear (KOH),
Cyclosporine (Whole Blood),
Cystic Fluid for AFB Smear/ZN Stain,
Cystic Fluid for Bacterial C/S (Aerobic) with Gram Stain,
Cystic Fluid for Fungus C/S with Fungus Stain(KOH),
Cystic Fluid for Fungus Stain/Fungal Smear (KOH),
Cystic Fluid for Gram Stain,
Cytology for any Specimen (Specimen Name:,
Dengue Profile,
Dengue RNA by PCR,
Dexa Scan (Whole Spine),
Dexa Scan for One Region,
Dexamethasone Suppression,
Dialysis Profile,
DJ Stent for Bacterial C/S (Aerobic) with Gram Stain,
DJ Stent for Fungus C/S with Fungus Stain (KOH),
DJ Stent for Fungus Stain/Fungal Smear (KOH),
DJ Stent for Gram Stain,
DLC,
"Donor Screening: HBsAg , HCV, HIV, HBc,VDRL, MP, HB",
Doppler Ultrasound: Single Leg Arterial Doppler,
Doppler Ultrasound: Single Leg Varicose Veins,
Doppler Ultrasound: Single Leg Venous Doppler,
Doppler: Both Arms Venous Doppler Ultrasound,
Doppler: Single Arm Venous Doppler Usg,
Double Lumen Tube for Bacterial C/S (Aerobic) with Gram Stain,
Drain Fluid for Bacterial C/S (Aerobic) with Gram Stain,
Drain for AFB Smear/ZN Stain,
Drain for Fungus C/S e Fungus Stain(KOH),
Drain for Fungus Stain/Fungal Smear (KOH),
Drain for Gram Stain,
Drain Tip for Fungus C/S with Fungus Stain (KOH),
Drain Tip for Fungus Stain/Fungal Smear (KOH),
Drain Tip for Gram Stain,
Drain Urine for Urea,
Drugs Screen Profile,
Dynamic MRI of Abdomen (Especially for liver or Pancreas),
Ear Swab for AFB Smear/ZN Stain,
Ear Swab for Bacterial C/S (Aerobic) with Gram Stain,
Ear Swab for Fungus C/S with Fungus Stain (KOH),
Ear Swab for Fungus Stain/Fungal Smear (KOH),
Ear Swab for Gram Stain,
EBV by PCR (Quantitative),
Echo for Aortic Stenosis,
Echo for Cor Pulmonate,
Echo for DCMP,
Echo for HOCM,
Echo for Hypertension,
Echo for Ischemic Heart Disease,
Echo for Mirtal Stenosis,
ENA Quantrix 25 IgG,
Entamoeba Histolytica ABs (Amoebiasis),
Eosinophil Count (Sputum),
"ER/PR Receptors (Estrogen,Progesterone Receptors)",
Erythropoietin (EPO),
Estimated Glomerular Filtration Rate (eGFR),
Everolimus,
"Extended Thyroid Profile (FT3, FT4, TSH,Total T3,Total T4)",
Factor II Level,
Factor IX Level,
Factor V,
Factor VII Level,
Factor VIII Level,
Factor X Level,
Female Infertility Profile,
Flowcytometry,
Fluid for ADA,
Fluid for AFB Smear/ZN Stain (Fluid Name:,
Fluid for Analysis (LDH+Albumin) Fluid Name:-,
Fluid for Bacterial C/S (Aerobic) with Gram Stain,
Fluid for Bile Pigment,
Fluid for Bile Salt,
Fluid for Fungus C/S with Fungus Stain (KOH) (Fluid Name:,
Fluid for Fungus Stain/Fungal Smear (KOH) (Specimen Name:,
Fluid for Gram Stain (Specimen Name:,
Fluid for Potassium,
Fluid for Sodium,
Fluid Slides for Review with Gram Stain & ZN Stain,
Food Detective,
Foundation Medicine CDX,
Free Androgen Index (FAI),
Free Cortisol (24 Hrs Urine),
Frozen Section (Additional One Specimen Charges),
Frozen Section (One Specimen) & Biopsy For H/P,
Fungus C/S with Fungus Stain (KOH) (Specimen Name:,
Fungus Stain/Fungal Smear (KOH) (Specimen Name:,
Ganglionic Acetylcholine,
Gastrointestinal Infectious Panel,
Gene Expert MTB-RIF,
Glucose (Fluid),
Gonorrhoea Screening (Gram Stain),
Growth Hormone Stimulation Test (By Exercise),
Growth Hormone Stimulation Test (by L-DOPA/CarbiDOPA),
Growth Hormone Stimulation Test By Insulin,
Growth Hormone Suppression Test (with Glucose Challenge),
Hairs for Fungus C/S with Fungus Stain (KOH),
Hairs for Fungus Stain/Fungal Smear (KOH),
HB. Electrophoresis (For Reporting only),
HBeAg,
HBV PCR (Viral Load / Quantitation),
HCV Genotyping By PCR,
HCV PCR (Viral Load / Quantitation),
HDV PCR (Qualitative),
HDV PCR (Viral Load / Quantitation),
Healthy Heart Profile,
Healthy Pregnancy Profile,
Heart Disease Profile,
Hepatic Fluid for AFB Smear/ZN Stain,
Hepatic Fluid for Fungus C/S with Fungus Stain (KOH),
Hepatic Fluid for Fungus Stain/Fungal Smear (KOH),
Hepatic Fluid for Gram Stain,
Her 2-Neu / Ki67 (Staining),
Herpes (HSV 1 & 2) PCR (Qualitative),
Herpes IgM (HSV),
HEV BY PCR (Quantitation),
HHT Genetic Testing,
HIV BY PCR (Viral Load / Quantitation),
HLA B27 Allele by PCR,
HSV IgG,
HVS for Bacterial C/S (Aerobic) with Wet Smear,
HVS for Gram Stain/Wet Smear,
Immature Platelet Fraction (IPF),
Immuno-Chemistry (Bone Marrow Trephine) with History,
Immunofixation Electrophoresis / Immunotyping,
"Immunoglobulins (IgA,IgG,IgM)",
Insulin (1 Hrs after 75 Grams Glucose),
Insulin (0.5 Hrs after 75 Grams Glucose),
Insulin (1.5 Hrs after 75 Grams Glucose),
Insulin (2 Hrs after 75 Grams Glucose),
Insulin (2.5 Hrs after 75 Grams Glucose),
Insulin (3 Hrs after 75 Grams Glucose),
Insulin (4 Hrs after 75 Grams Glucose),
Insulin (5 Hrs after 75 Grams Glucose),
Insulin Resistance Test (After 75 Grams Glucose),
Intact Parathyroid Hormone (PTH),
Interleukin 6 (IL-6),
Iron Status Profile,
IUCD for Bacterial C/S (Aerobic) with Gram Stain,
JAK-2V617F Mutation by PCR,
JC Virus (John Cunningham) PCR (Quantitation),
Joint Fluid for AFB Smear/ZN Stain,
Joint Fluid for Bacterial C/S (Aerobic) with Gram Stain,
Joint Fluid for Fungus C/S e Fungus Stain (KOH),
Joint Fluid for Fungus Stain/Fungal Smear (KOH),
Joint Fluid for Gram Stain,
Lactate Leve (Fluid),
Lactate Level (CSF),
LDH (CSF),
LeukAPheresis Procedure,
Leukocyte Filter,
Liver Abscess for Bacterial C/S (Aerobic) with Gram Stain,
Liver Aspirate for Bacterial C/S (Aerobic) with Gram Stain,
Malarial Antigen / ICT Malaria (Whole Blood),
Malarial Parasite (MP),
Male Infertility Profile,
Mammogram Bilateral Breast (CC/MLO) Views,
Mammogram Left Breast (CC/MLO) Views,
Mammogram Right Breast (CC/MLO) Views,
Meningitis / Encephalitis Infectious Panel,
Menopause Profile,
Metabolic Studies for Stone,
Milk for AFB Smear/ZN Stain,
Milk for Bacterial C/S (Aerobic) with Gram Stain,
Milk for Fungus C/S e Fungus Stain(KOH),
Milk for Fungus Stain/Fungal Smear (KOH),
Milk for Gram Stain,
Mixing Studies with History,
Molecular Cytogenatics BCR / ABL FISH History,
Molecular Cytogenatics PML/PARA FISH with History,
MR Angiography of Spine,
MR Continuation Scan with contrast,
MR Mammography With Contrast,
MRA Brain With Contrast,
MRA Brain Without Contrast,
MRA Carotid Without Contrast,
MRA Carotid With Contrast,
MRA Chest With Contrast,
MRA Circle of Willis With Contrast,
MRA Circle of Willis Without Contrast,
